STARTING: 4 sims | TMAX=1.0e7 | Block=1.0e6
[2] ✓ i=1 t=1.0e6 | Mem: 0.2MB | E_mean: 0.144
[2] ✓ i=1 t=2.0e6 | Mem: 0.2MB | E_mean: 0.144
[2] ✓ i=1 t=3.0e6 | Mem: 0.2MB | E_mean: 0.144
[2] ✓ i=1 t=4.0e6 | Mem: 0.2MB | E_mean: 0.144
[2] ✓ i=1 t=5.0e6 | Mem: 0.2MB | E_mean: 0.144
[2] ✓ i=1 t=6.0e6 | Mem: 0.2MB | E_mean: 0.144
[2] ✓ i=1 t=7.0e6 | Mem: 0.2MB | E_mean: 0.144
[2] ✓ i=1 t=8.0e6 | Mem: 0.2MB | E_mean: 0.144
[2] ✓ i=1 t=9.0e6 | Mem: 0.2MB | E_mean: 0.144
[2] ✓ i=1 t=1.0e7 | Mem: 0.2MB | E_mean: 0.144
[2]  DONE: p=0.1, d=0.01
[2] ✓ i=2 t=1.0e6 | Mem: 0.2MB | E_mean: 0.154
[2] ✓ i=2 t=2.0e6 | Mem: 0.2MB | E_mean: 0.154
[2] ✓ i=2 t=3.0e6 | Mem: 0.2MB | E_mean: 0.154
[2] ✓ i=2 t=4.0e6 | Mem: 0.2MB | E_mean: 0.154
[2] ✓ i=2 t=5.0e6 | Mem: 0.2MB | E_mean: 0.154
[2] ✓ i=2 t=6.0e6 | Mem: 0.2MB | E_mean: 0.154
[2] ✓ i=2 t=7.0e6 | Mem: 0.2MB | E_mean: 0.154
[2] ✓ i=2 t=8.0e6 | Mem: 0.2MB | E_mean: 0.154
[2] ✓ i=2 t=9.0e6 | Mem: 0.2MB | E_mean: 0.154
[2] ✓ i=2 t=1.0e7 | Mem: 0.2MB | E_mean: 0.154
[2]  DONE: p=0.1, d=0.1
[2] ✓ i=3 t=1.0e6 | Mem: 0.2MB | E_mean: 0.166
[2] ✓ i=3 t=2.0e6 | Mem: 0.2MB | E_mean: 0.166
[2] ✓ i=3 t=3.0e6 | Mem: 0.2MB | E_mean: 0.166
