delta_kappa,R
0.05,42.715852979085774
0.06,32.1347979845115
0.07,25.232829952657166
0.08,20.693969317183758
0.09,17.69278707529121
0.1,15.70582028878534
0.11,14.396463331877367
0.12,13.543562241997025
0.13,12.99960054990032
0.14,12.664230511741126
0.15,12.467892396191454
0.16,12.361893357223998
0.17,12.310673546905972
0.18,12.289542876272499
0.19,12.279539316886567
0.2,12.267038530982187
0.21,12.242052629076529
0.22,12.197158625598597
0.23,12.126888770769451
0.24,12.027155974365693
0.25,11.895220344662349
0.26,11.729428670372556
0.27,11.528630064689631
0.28,11.292405626309865
0.29,11.020927604713448
0.3,10.714720067028146
0.31,10.374691634053788
0.32,10.002101169505229
0.33,9.598475125632392
0.34,9.165443957517146
0.35,8.705143660067522
0.36,8.219384595600731
0.37,7.710581452072753
0.38,7.180899481936724
0.39,6.632673505075935
0.4,6.068280573199046
0.41,5.490041536876795
0.42,4.9002704587232255
0.43,4.30115604530482
0.44,3.6948188977033696
0.45,3.0832176815327004
0.46,2.4681175194434988
0.47,1.8510633254760789
0.48,1.2333745535933418
0.49,0.6159845943575628
0.5,0.0
